部门,车牌号,日期,驾驶行为评分
03无排行有提醒,皖AT0549,2020/8/22,100
04无排行无提醒,皖AT0560,2020/8/22,100
01有排行有提醒,皖AT0619,2020/8/22,100
04无排行无提醒,皖AT0666,2020/8/22,100
02有排行无提醒,皖AT0575,2020/8/22,100
03无排行有提醒,皖AT0589,2020/8/22,100
02有排行无提醒,皖AT0657,2020/8/22,100
01有排行有提醒,皖AT0547,2020/8/22,100
04无排行无提醒,皖AT0616,2020/8/22,100
03无排行有提醒,皖AT0539,2020/8/22,100
01有排行有提醒,皖AT0600,2020/8/22,100
04无排行无提醒,皖AT0661,2020/8/22,100
03无排行有提醒,皖AT0579,2020/8/22,100
04无排行无提醒,粤BP439V,2020/8/22,100
03无排行有提醒,粤STC809,2020/8/22,100
04无排行无提醒,粤B3RC91,2020/8/22,100
03无排行有提醒,粤B533CJ,2020/8/22,100
02有排行无提醒,粤B3Q03K,2020/8/22,100
01有排行有提醒,粤S45B27,2020/8/22,100
02有排行无提醒,粤JCL629,2020/8/22,100
03无排行有提醒,粤B3AU48,2020/8/22,100
04无排行无提醒,粤STB959,2020/8/22,100
01有排行有提醒,皖AT0626,2020/8/22,100
02有排行无提醒,闽C88DN2,2020/8/22,100
04无排行无提醒,粤B4C0S6,2020/8/22,100
01有排行有提醒,粤BH218W,2020/8/22,100
01有排行有提醒,粤B2K335,2020/8/22,100
04无排行无提醒,粤PR5795,2020/8/22,100
03无排行有提醒,粤BY1047,2020/8/22,100
01有排行有提醒,粤B3R80W,2020/8/22,100
03无排行有提醒,粤B2X562,2020/8/22,100
04无排行无提醒,粤S09158,2020/8/22,100
02有排行无提醒,粤B9XN26,2020/8/22,100
02有排行无提醒,皖AYY059,2020/8/22,100
01有排行有提醒,粤LBY602,2020/8/22,100
02有排行无提醒,粤BL05M1,2020/8/22,99.71
01有排行有提醒,皖AT0642,2020/8/22,91.29
01有排行有提醒,粤BT2220,2020/8/22,87.52
03无排行有提醒,皖AT0621,2020/8/22,69.47
02有排行无提醒,皖AT0620,2020/8/22,62.85
01有排行有提醒,皖AT0650,2020/8/22,59.48
